,Country,City,Date,Max Temp,Cloudiness,Humidity,Lat,Lng,Wind Speed
0,PE,Pangoa,1651939295,79.5,83,60,-12.1167,-73.0,1.28
1,FR,Montluçon,1651939296,69.71,71,56,46.3333,2.6,1.01
2,NZ,Mataura,1651939233,50.86,82,89,-46.1927,168.8643,4.12
3,RU,Chokurdakh,1651939297,19.99,100,95,70.6333,147.9167,12.48
4,CL,Punta Arenas,1651939220,51.12,32,66,-53.15,-70.9167,31.97
5,US,Bethel,1651939257,52.41,75,71,41.3712,-73.414,10.0
6,AU,Carnarvon,1651939298,76.23,25,48,-24.8667,113.6333,6.64
7,GL,Maniitsoq,1651939298,31.59,29,65,65.4167,-52.9,9.15
8,OM,Sur,1651939272,87.62,0,57,22.5667,59.5289,14.63
9,PF,Atuona,1651939230,77.81,16,74,-9.8,-139.0333,14.32
10,US,Kapaa,1651939257,74.12,99,82,22.0752,-159.319,4.0
11,AU,Busselton,1651939227,60.71,63,64,-33.65,115.3333,5.48
12,ZA,Cape Town,1651939256,62.28,4,61,-33.9258,18.4232,10.0
13,CK,Avarua,1651939234,80.4,97,75,-21.2078,-159.775,2.01
14,US,Hailey,1651939300,46.26,0,46,43.5196,-114.3153,15.01
15,JP,Hasaki,1651939276,61.29,100,88,35.7333,140.8333,3.96
16,RU,Sukhobuzimskoye,1651939301,41.07,34,37,56.5,93.2728,18.95
17,CG,Loandjili,1651939302,78.49,100,89,-4.7561,11.8578,3.96
18,PF,Tautira,1651939302,80.56,4,76,-17.7333,-149.15,2.89
19,RU,Almaznyy,1651939303,51.49,38,52,48.0448,40.045,7.18
20,NO,Øksfjord,1651939303,39.27,99,98,70.2396,22.3479,45.68
21,TO,Vaini,1651939229,75.78,99,76,-21.2,-175.2,13.76
22,US,Raton,1651939072,75.33,75,23,36.9034,-104.4391,11.86
23,US,Jamestown,1651939269,58.01,100,53,42.097,-79.2353,11.01
24,US,Hilo,1651939253,80.28,100,93,19.7297,-155.09,9.22
25,MX,Galeana,1651939089,79.65,0,30,24.8333,-100.0667,2.48
26,AU,New Norfolk,1651939256,53.1,36,72,-42.7826,147.0587,1.01
27,LS,Hlotse,1651939305,56.01,57,41,-28.8718,28.045,3.65
28,ZA,Port Elizabeth,1651939240,59.31,100,96,-33.918,25.5701,4.61
29,US,Barrow,1651939232,21.22,100,86,71.2906,-156.7887,16.11
30,AR,Buenos Aires,1651939268,71.98,0,68,-34.6132,-58.3772,6.6
31,MU,Mahébourg,1651939266,78.26,75,88,-20.4081,57.7,14.97
32,BR,Arraial do Cabo,1651939218,73.36,17,76,-22.9661,-42.0278,16.22
33,JP,Hirara,1651939307,77.85,95,85,24.8,125.2833,2.89
34,RU,Pevek,1651939271,20.91,100,99,69.7008,170.3133,5.88
35,KH,Kampot,1651939308,84.25,99,89,10.6167,104.1833,8.93
36,BW,Mogapi,1651939308,72.97,27,23,-22.323,27.8349,5.12
37,ID,Tual,1651939309,84.92,62,76,-5.6667,132.75,20.85
38,IN,Kāmākhyānagar,1651939310,84.06,37,62,20.9333,85.55,11.77
39,NO,Raudeberg,1651939310,44.96,55,61,61.9875,5.1352,6.91
40,RU,Zheleznodorozhnyy,1651939311,64.62,93,57,55.7503,38.0042,9.93
41,NA,Henties Bay,1651939311,59.56,0,83,-22.116,14.2845,17.81
42,GL,Sisimiut,1651939312,30.27,5,55,66.9395,-53.6735,6.22
43,MV,Hithadhoo,1651939250,84.42,85,75,-0.6,73.0833,14.65
44,MX,Ixtapa,1651939313,86.63,0,36,20.7,-105.2,4.21
45,AR,Ushuaia,1651939239,46.89,62,81,-54.8,-68.3,11.72
46,AU,Moranbah,1651939314,64.0,83,68,-22.0016,148.0466,17.96
47,GL,Tasiilaq,1651939246,32.16,99,67,65.6145,-37.6368,5.68
48,PT,Ribeira Grande,1651939224,64.8,20,72,38.5167,-28.7,5.75
49,IS,Olafsvik,1651939314,43.65,100,82,64.8945,-23.7142,18.5
